"part_ID","sugar_craving","fat_craving","unhealthy_craving","trial_id","Left_Picture","Right_Picture","accuracy","response_time","Congruence","DT_Healthy","DT_Salty","DT_Sugary","DT_Total","Rel_DT_Salty","Rel_DT_Sugary","Rel_DT_Unhealthy","first_fix_Salty","first_fix_Sugary","first_fix_Unhealthy","FixCount_Healthy","FixCount_Salty","FixCount_Sugary","FixCount_Total","Rel_FixCount_Salty","Rel_FixCount_Sugary","Rel_FixCount_Unhealthy"
"Students11",70,30,50,53,"FS","FL",1,1701,1,865.012,NA,299.994,1165.01,NA,0.26,0.26,NA,1,1,2,NA,1,3,NA,0.33,0.33
"Students11",70,30,50,54,"FL","FS",1,473,0,499.008,NA,815.002,1314.01,NA,0.62,0.62,NA,0,0,2,NA,3,5,NA,0.6,0.6
"Students11",70,30,50,55,"FS","FL",1,435,0,582.003,NA,481.997,1064,NA,0.45,0.45,NA,1,1,2,NA,2,4,NA,0.5,0.5
"Students11",70,30,50,56,"FL","FS",1,470,1,200,NA,482.995,683,NA,0.71,0.71,NA,0,0,1,NA,2,3,NA,0.67,0.67
"Students11",70,30,50,57,"FS","FL",1,453,1,582.015,NA,449.011,1031.03,NA,0.44,0.44,NA,1,1,2,NA,2,4,NA,0.5,0.5
"Students11",70,30,50,58,"FL","FS",1,468,0,232.998,NA,0,233,NA,0,0,NA,NA,NA,1,NA,0,1,NA,0,0
"Students11",70,30,50,59,"FS","FL",1,428,0,815.999,NA,298.995,1114.99,NA,0.27,0.27,NA,0,0,3,NA,1,4,NA,0.25,0.25
"Students11",70,30,50,6,"FL","FF",1,492,0,350.003,564.992,NA,914.99,0.62,NA,0.62,0,NA,0,1,2,NA,3,0.67,NA,0.67
"Students11",70,30,50,60,"FL","FS",1,476,1,747.994,NA,714.983,1462.98,NA,0.49,0.49,NA,1,1,2,NA,3,5,NA,0.6,0.6
"Students11",70,30,50,61,"FS","FL",1,356,1,184,NA,0,184,NA,0,0,NA,NA,NA,1,NA,0,1,NA,0,0
"Students11",70,30,50,62,"FL","FS",1,526,0,783.002,NA,749.005,1532.01,NA,0.49,0.49,NA,0,0,2,NA,2,4,NA,0.5,0.5
"Students11",70,30,50,63,"FS","FL",1,606,0,349.99,NA,183.001,532.99,NA,0.34,0.34,NA,1,1,2,NA,1,3,NA,0.33,0.33
"Students11",70,30,50,64,"FL","FS",1,437,1,199.002,NA,815.987,1014.99,NA,0.8,0.8,NA,0,0,1,NA,4,5,NA,0.8,0.8
"Students11",70,30,50,65,"FS","FL",1,530,1,532.007,NA,334.003,866.01,NA,0.39,0.39,NA,1,1,2,NA,1,3,NA,0.33,0.33
"Students11",70,30,50,66,"FL","FS",1,444,0,767.003,NA,232,999,NA,0.23,0.23,NA,1,1,3,NA,1,4,NA,0.25,0.25
"Students11",70,30,50,67,"FS","FL",1,564,0,200,NA,382.989,582.99,NA,0.66,0.66,NA,1,1,1,NA,2,3,NA,0.67,0.67
"Students11",70,30,50,68,"FL","FS",1,428,1,133.005,NA,533.005,666.01,NA,0.8,0.8,NA,0,0,1,NA,3,4,NA,0.75,0.75
"Students11",70,30,50,69,"FS","FL",1,459,1,898.995,NA,300.006,1199,NA,0.25,0.25,NA,0,0,2,NA,1,3,NA,0.33,0.33
"Students11",70,30,50,7,"FF","FL",1,462,0,1165.004,283.008,NA,1448.01,0.2,NA,0.2,1,NA,1,4,1,NA,5,0.2,NA,0.2
"Students11",70,30,50,70,"FL","FS",1,443,0,816,NA,599.014,1415.01,NA,0.42,0.42,NA,0,0,3,NA,2,5,NA,0.4,0.4
"Students11",70,30,50,71,"FS","FL",1,439,0,1033.012,NA,200,1233.01,NA,0.16,0.16,NA,1,1,3,NA,1,4,NA,0.25,0.25
"Students11",70,30,50,72,"FL","FS",1,423,1,298.995,NA,1198.004,1497,NA,0.8,0.8,NA,0,0,1,NA,4,5,NA,0.8,0.8
"Students11",70,30,50,73,"FS","FL",1,434,1,1164.979,NA,399.987,1564.97,NA,0.26,0.26,NA,1,1,2,NA,2,4,NA,0.5,0.5
"Students11",70,30,50,74,"FL","FS",1,402,0,498.995,NA,765.991,1264.99,NA,0.61,0.61,NA,1,1,1,NA,3,4,NA,0.75,0.75
"Students11",70,30,50,75,"FS","FL",1,520,0,366.003,NA,399.002,765,NA,0.52,0.52,NA,1,1,2,NA,2,4,NA,0.5,0.5
"Students11",70,30,50,76,"FL","FS",1,453,1,766.003,NA,614.989,1380.99,NA,0.45,0.45,NA,0,0,2,NA,2,4,NA,0.5,0.5
"Students11",70,30,50,77,"FS","FL",1,407,1,1097.997,NA,0,1098,NA,0,0,NA,NA,NA,5,NA,0,5,NA,0,0
"Students11",70,30,50,78,"FL","FS",1,529,0,799.002,NA,367.001,1166,NA,0.31,0.31,NA,1,1,2,NA,2,4,NA,0.5,0.5
"Students11",70,30,50,79,"FS","FL",1,394,0,898.01,NA,516.008,1414.02,NA,0.36,0.36,NA,0,0,3,NA,3,6,NA,0.5,0.5
"Students11",70,30,50,8,"FL","FF",1,462,1,647.014,516.007,NA,1163.02,0.44,NA,0.44,0,NA,0,3,2,NA,5,0.4,NA,0.4
"Students11",70,30,50,80,"FL","FS",1,450,1,316.007,NA,483.008,799.02,NA,0.6,0.6,NA,1,1,2,NA,3,5,NA,0.6,0.6
"Students11",70,30,50,9,"FF","FL",1,483,1,915.007,0,NA,915.01,0,NA,0,NA,NA,NA,5,0,NA,5,0,NA,0
"Students12",60,75,67.5,1,"FF","FL",1,433,1,400,898.009,NA,1298.01,0.69,NA,0.69,1,NA,1,1,5,NA,6,0.83,NA,0.83
"Students12",60,75,67.5,10,"FL","FF",1,432,0,1080.986,132.006,NA,1212.99,0.11,NA,0.11,0,NA,0,5,1,NA,6,0.17,NA,0.17
"Students12",60,75,67.5,11,"FF","FL",1,466,0,1099.007,265.997,NA,1365,0.19,NA,0.19,1,NA,1,4,1,NA,5,0.2,NA,0.2
"Students12",60,75,67.5,12,"FL","FF",1,595,1,416.012,697.997,NA,1114.01,0.63,NA,0.63,1,NA,1,2,2,NA,4,0.5,NA,0.5
"Students12",60,75,67.5,13,"FF","FL",1,508,1,948.007,449.983,NA,1397.99,0.32,NA,0.32,1,NA,1,3,2,NA,5,0.4,NA,0.4
"Students12",60,75,67.5,14,"FL","FF",1,451,0,832.999,781.005,NA,1614,0.48,NA,0.48,0,NA,0,3,2,NA,5,0.4,NA,0.4
"Students12",60,75,67.5,15,"FF","FL",1,404,0,866.995,532.991,NA,1399.99,0.38,NA,0.38,1,NA,1,3,3,NA,6,0.5,NA,0.5
"Students12",60,75,67.5,16,"FL","FF",1,468,1,615.999,665.984,NA,1281.98,0.52,NA,0.52,0,NA,0,4,2,NA,6,0.33,NA,0.33
"Students12",60,75,67.5,17,"FF","FL",1,506,1,799.002,249.01,NA,1048.01,0.24,NA,0.24,1,NA,1,2,2,NA,4,0.5,NA,0.5
"Students12",60,75,67.5,18,"FL","FF",1,462,0,1180.006,117.005,NA,1297.01,0.09,NA,0.09,0,NA,0,4,1,NA,5,0.2,NA,0.2
"Students12",60,75,67.5,19,"FF","FL",1,468,0,566.003,698.995,NA,1265,0.55,NA,0.55,1,NA,1,1,4,NA,5,0.8,NA,0.8
"Students12",60,75,67.5,2,"FL","FF",1,437,0,665.665666666667,465.985,NA,1131.65,0.41,NA,0.41,0,NA,0,5,2,NA,7,0.29,NA,0.29
"Students12",60,75,67.5,20,"FL","FF",1,598,1,549.978,781.991,NA,1331.97,0.59,NA,0.59,0,NA,0,3,4,NA,7,0.57,NA,0.57
"Students12",60,75,67.5,21,"FF","FL",1,472,1,964.992,633.997,NA,1598.99,0.4,NA,0.4,1,NA,1,2,2,NA,4,0.5,NA,0.5
"Students12",60,75,67.5,22,"FL","FF",1,509,0,548.007,880.998,NA,1429.01,0.62,NA,0.62,0,NA,0,2,3,NA,5,0.6,NA,0.6
"Students12",60,75,67.5,23,"FF","FL",1,905,0,399.002,897.011,NA,1296.01,0.69,NA,0.69,1,NA,1,1,2,NA,3,0.67,NA,0.67
"Students12",60,75,67.5,24,"FL","FF",1,621,1,980.992,265.316333333333,NA,1246.31,0.21,NA,0.21,0,NA,0,4,2,NA,6,0.33,NA,0.33
"Students12",60,75,67.5,25,"FF","FL",1,621,1,315.993,866.009,NA,1182,0.73,NA,0.73,1,NA,1,2,4,NA,6,0.67,NA,0.67
"Students12",60,75,67.5,26,"FL","FF",1,638,0,933.019,450.009,NA,1383.03,0.33,NA,0.33,0,NA,0,4,2,NA,6,0.33,NA,0.33
"Students12",60,75,67.5,27,"FF","FL",1,531,0,366.003,1100.007,NA,1466.01,0.75,NA,0.75,1,NA,1,1,5,NA,6,0.83,NA,0.83
"Students12",60,75,67.5,28,"FL","FF",1,492,1,779.981,333.99,NA,1113.97,0.3,NA,0.3,0,NA,0,4,2,NA,6,0.33,NA,0.33
"Students12",60,75,67.5,29,"FF","FL",1,1782,1,599.001,216.998,NA,816,0.27,NA,0.27,1,NA,1,2,1,NA,3,0.33,NA,0.33
"Students12",60,75,67.5,3,"FF","FL",1,500,0,582.003,834.01,NA,1416.01,0.59,NA,0.59,1,NA,1,1,3,NA,4,0.75,NA,0.75
"Students12",60,75,67.5,30,"FL","FF",1,445,0,1081.996,383.002,NA,1465,0.26,NA,0.26,0,NA,0,5,2,NA,7,0.29,NA,0.29
"Students12",60,75,67.5,31,"FF","FL",1,447,0,913.984,648.013,NA,1562,0.41,NA,0.41,1,NA,1,3,3,NA,6,0.5,NA,0.5
"Students12",60,75,67.5,32,"FL","FF",1,574,1,497.012,432.998,NA,930.01,0.47,NA,0.47,0,NA,0,3,2,NA,5,0.4,NA,0.4
"Students12",60,75,67.5,33,"FF","FL",1,627,1,932.007,349.005,NA,1281.01,0.27,NA,0.27,1,NA,1,3,2,NA,5,0.4,NA,0.4
"Students12",60,75,67.5,34,"FL","FF",1,578,0,732.007,531.993,NA,1264,0.42,NA,0.42,0,NA,0,3,2,NA,5,0.4,NA,0.4
"Students12",60,75,67.5,35,"FF","FL",1,1052,0,317.005,598.002,NA,915.01,0.65,NA,0.65,0,NA,0,2,3,NA,5,0.6,NA,0.6
"Students12",60,75,67.5,36,"FL","FF",1,590,1,515.993,930.982,NA,1446.97,0.64,NA,0.64,0,NA,0,3,3,NA,6,0.5,NA,0.5
