"part_ID","sugar_craving","fat_craving","unhealthy_craving","trial_id","Left_Picture","Right_Picture","accuracy","response_time","Congruence","AOI_visited","DT","First_Fix","n"
"Guest06",40,30,35,67,"FS","FL",1,613,0,"Sugary",330.982,1,2
"Guest06",40,30,35,68,"FL","FS",1,578,1,"Healthy",349.005,1,2
"Guest06",40,30,35,68,"FL","FS",1,578,1,"Sugary",582.003,0,2
"Guest06",40,30,35,69,"FS","FL",1,509,1,"Healthy",999.001,0,2
"Guest06",40,30,35,69,"FS","FL",1,509,1,"Sugary",266.009,1,1
"Guest06",40,30,35,7,"FF","FL",1,548,0,"Healthy",563.994,1,2
"Guest06",40,30,35,7,"FF","FL",1,548,0,"Salty",498.995,0,1
"Guest06",40,30,35,70,"FL","FS",1,439,0,"Healthy",498.994,1,2
"Guest06",40,30,35,70,"FL","FS",1,439,0,"Sugary",483.007,0,2
"Guest06",40,30,35,71,"FS","FL",1,531,0,"Healthy",631.988,1,2
"Guest06",40,30,35,71,"FS","FL",1,531,0,"Sugary",513.983,0,3
"Guest06",40,30,35,72,"FL","FS",1,634,1,"Healthy",797.005,1,2
"Guest06",40,30,35,72,"FL","FS",1,634,1,"Sugary",616,0,2
"Guest06",40,30,35,73,"FS","FL",1,523,1,"Healthy",599.001,1,3
"Guest06",40,30,35,73,"FS","FL",1,523,1,"Sugary",848.999,0,2
"Guest06",40,30,35,74,"FL","FS",1,483,0,"Healthy",483.008,1,2
"Guest06",40,30,35,74,"FL","FS",1,483,0,"Sugary",866.009,0,2
"Guest06",40,30,35,75,"FS","FL",1,578,0,"Healthy",1014.988,0,2
"Guest06",40,30,35,75,"FS","FL",1,578,0,"Sugary",516.979,1,2
"Guest06",40,30,35,76,"FL","FS",1,557,1,"Healthy",299.993,1,1
"Guest06",40,30,35,76,"FL","FS",1,557,1,"Sugary",783.001,0,2
"Guest06",40,30,35,77,"FS","FL",1,720,1,"Healthy",566.004,0,2
"Guest06",40,30,35,77,"FS","FL",1,720,1,"Sugary",931.008,1,2
"Guest06",40,30,35,78,"FL","FS",1,713,0,"Healthy",1065.013,1,5
"Guest06",40,30,35,78,"FL","FS",1,713,0,"Sugary",249.011,0,2
"Guest06",40,30,35,79,"FS","FL",1,529,0,"Healthy",848.998,0,1
"Guest06",40,30,35,79,"FS","FL",1,529,0,"Sugary",415.347333333333,1,2
"Guest06",40,30,35,8,"FL","FF",1,507,1,"Healthy",347.993,1,2
"Guest06",40,30,35,8,"FL","FF",1,507,1,"Salty",999.001,0,2
"Guest06",40,30,35,80,"FL","FS",1,581,1,"Healthy",731.994,0,2
